Time	Roll
0:01:48.775	12.9675
0:01:48.775	12.87
0:01:48.775	12.675
0:01:48.821	10.2975
0:01:48.821	7.0125
0:01:48.821	5.3175
0:01:48.852	6.435
0:01:48.852	5.9175
0:01:48.852	5.4225
0:01:48.883	6.72
0:01:48.883	5.3475
0:01:48.899	6.75
0:01:48.930	5.46
0:01:48.930	2.79
0:01:48.943	-0.12
0:01:48.959	-0.8775
0:01:48.990	1.425
0:01:48.990	-0.4575
0:01:49.007	-1.9875
0:01:49.039	-0.8925
0:01:49.039	-2.445
0:01:49.055	-0.6
0:01:49.087	0.9825
0:01:49.087	0.3225
0:01:49.117	1.5825
0:01:49.148	1.8525
0:01:49.148	1.575
0:01:49.160	1.56
0:01:49.191	1.2675
0:01:49.224	2.2725
0:01:49.224	1.875
0:01:49.255	2.9625
0:01:49.290	4.7025
0:01:49.290	3.7275
0:01:49.324	5.4975
0:01:49.324	5.175
0:01:49.358	5.115
0:01:49.358	4.8975
0:01:49.405	5.1675
0:01:49.405	5.115
0:01:49.421	5.0625
0:01:49.452	4.7175
0:01:49.483	3.81
0:01:49.483	2.505
0:01:49.515	1.095
0:01:49.515	-0.4875
0:01:49.531	-2.5725
0:01:49.567	-5.1975
0:01:49.581	-8.0325
0:01:49.617	-10.4025
0:01:49.617	-12.3
0:01:49.654	-13.9125
0:01:49.654	-15.0675
0:01:49.684	-15.9075
0:01:49.715	-16.8375
0:01:49.715	-18.0525
0:01:49.748	-19.65
0:01:49.777	-15.72
0:01:49.777	-16.2075
0:01:49.777	-18.2025
0:01:49.791	-18.4725
0:01:49.825	-15.645
0:01:49.825	-17.61
0:01:49.840	-13.755
0:01:49.855	-13.4775
0:01:49.887	-15.0825
0:01:49.887	-15.5475
0:01:49.919	-12.2175
0:01:49.919	-13.02
0:01:49.950	-5.8875
0:01:49.950	-8.865
0:01:49.950	-10.8975
0:01:49.981	-2.8425
0:01:49.981	-3.6
0:01:50.009	-0.3375
0:01:50.009	-1.4475
0:01:50.042	0.6075
0:01:50.042	-0.7275
0:01:50.074	-0.375
0:01:50.074	-1.065
0:01:50.074	-1.47
0:01:50.107	-2.115
0:01:50.107	-2.445
0:01:50.140	0.18
0:01:50.140	-2.025
0:01:50.174	0.51
0:01:50.174	-1.305
0:01:50.206	-2.5725
0:01:50.206	-3.6225
0:01:50.237	-4.4925
0:01:50.270	-5.0175
0:01:50.302	-2.3625
0:01:50.302	-4.4325
0:01:50.317	0.2325
0:01:50.350	-0.7575
0:01:50.382	-1.77
0:01:50.415	0.1275
0:01:50.415	-0.1425
0:01:50.448	2.0775
0:01:50.448	0.75
0:01:50.479	3.9525
0:01:50.510	8.1975
0:01:50.510	6.885
0:01:50.542	8.985
0:01:50.581	10.17
0:01:50.611	11.355
0:01:50.678	8.7075
0:01:50.678	7.515
0:01:50.709	9.5475
0:01:50.709	8.835
0:01:50.723	7.5375
0:01:50.740	6.1725
0:01:50.772	8.8725
0:01:50.772	7.785
0:01:50.772	6.0375
0:01:50.821	11.955
0:01:50.821	10.5375
0:01:50.856	9.7125
0:01:50.856	6.27
0:01:50.856	4.215
0:01:50.890	3.33
0:01:50.890	3.06
0:01:50.924	5.925
0:01:50.924	5.835
0:01:50.957	5.625
0:01:50.957	5.1375
0:01:50.957	3.8775
0:01:50.992	5.4375
0:01:51.026	6.7875
0:01:51.026	6.1875
0:01:51.060	3.0675
0:01:51.060	0.4125
0:01:51.075	-0.5775
0:01:51.089	-0.405
0:01:51.106	1.2825
0:01:51.106	0.7275
0:01:51.138	1.3575
0:01:51.153	1.395
0:01:51.187	3.21
0:01:51.187	1.59
0:01:51.221	3.66
0:01:51.255	7.035
0:01:51.255	4.89
0:01:51.288	11.205
0:01:51.288	8.925
0:01:51.323	14.3175
0:01:51.323	12.8025
0:01:51.355	15.2025
0:01:51.372	15.6075
0:01:51.406	15.33
0:01:51.406	14.4075
0:01:51.456	11.8425
0:01:51.490	10.845
0:01:51.490	9.135
0:01:51.527	7.8225
0:01:51.527	5.955
0:01:51.559	3.93
0:01:51.559	1.68
0:01:51.607	-0.825
0:01:51.607	-3.525
0:01:51.640	-6.2325
0:01:51.640	-8.265
0:01:51.674	-9.48
0:01:51.674	-9.9
0:01:51.690	-9.945
0:01:51.724	-10.02
0:01:51.739	-10.08
0:01:51.775	-10.6725
0:01:51.775	-11.88
0:01:51.791	-13.74
0:01:51.813	-16.47
0:01:51.832	-19.05
0:01:51.868	-21.255
0:01:51.868	-23.4975
0:01:51.898	-20.1675
0:01:51.915	-16.5375
0:01:51.944	-13.86
0:01:51.944	-14.1075
0:01:51.975	-14.385
0:01:51.975	-16.41
0:01:51.990	-10.6875
0:01:52.006	-8.88
0:01:52.006	-9.33
0:01:52.038	-12.8025
0:01:52.038	-13.56
0:01:52.056	-10.755
0:01:52.074	-9.33
0:01:52.089	-9
0:01:52.125	-6.51
0:01:52.125	-8.715
0:01:52.125	-9.945
0:01:52.158	-7.035
0:01:52.158	-7.9425
0:01:52.190	-6.2025
0:01:52.190	-8.0475
0:01:52.208	-3.5325
0:01:52.208	-3.9975
0:01:52.243	-5.235
0:01:52.243	-8.28
0:01:52.277	-4.8
0:01:52.277	-6.0675
